/location/country	446	446
/event/military_conflict	2200	2209
/transit	403	416
/broadcast_program	2200	2226
/play	2200	2209
/game	2200	2209
/broadcast_network	1737	1776
/military	2200	2209
/visual_art/color	91	91
/law	27	27
/location/county	2200	2205
/person/author	2206	5274
/product/airplane	2200	2211
/metropolitan_transit/transit_line	927	973
/person/architect	2200	2226
/livingthing/animal	231	232
/newspaper	230	232
/government/government	1111	1241
/building/airport	2200	2202
/person/musician	2203	2518
/product/spacecraft	621	621
/location/city	2215	3003
/event	2203	7683
/government_agency	2200	2226
/building/library	423	426
/product/ship	2200	2208
/person/engineer	1675	1723
/person/politician	2203	2732
/art	2003	2007
/building/sports_facility	2200	2214
/body_part	2200	2204
/organization/company	2203	7629
/education/educational_degree	270	270
/person/religious_leader	2085	2092
/people/ethnicity	2200	2201
/person/monarch	2176	2245
/train	1600	1602
/art/film	2203	2556
/medicine/symptom	640	791
/product/instrument	1217	1217
/internet/website	2000	2017
/organization/fraternity_sorority	341	342
/finance/currency	624	625
/person/director	2200	2411
/geography/glacier	1704	1705
/product/computer	361	381
/time	860	860
/government/political_party	2200	2200
/event/sports_event	1050	1062
/person/doctor	1303	1319
/disease	2200	2441
/event/election	87	88
/location/bridge	2200	2204
/education/department	187	190
/location/body_of_water	2203	2204
/organization/sports_team	2200	2210
/god	977	978
/broadcast/tv_channel	285	395
/building/hotel	961	965
/product	990	1303
/chemistry	2200	3194
/organization	2203	21568
/person/actor	2203	3677
/biology	1446	1453
/finance/stock_exchange	200	200
/title	2200	2222
/product/camera	183	184
/person/coach	2200	2232
/event/natural_disaster	2176	2187
/medicine/medical_treatment	784	2622
/location/cemetery	1271	1296
/building/theater	906	922
/organization/sports_league	2098	2112
/park	401	401
/person/athlete	2221	3604
/organization/airline	2200	2202
/person/soldier	706	749
/food	2200	2259
/rail/railway	1155	1174
/geography/mountain	2200	2219
/living_thing	2221	2667
/product/car	2200	2202
/award	2200	2203
/building/hospital	2028	2031
/organization/educational_institution	2203	2262
/transportation/road	2200	2211
/software	2200	2261
/music	2206	2998
/building/restaurant	827	863
/person/artist	2206	6305
/product/engine_device	356	356
/medicine/drug	2200	2342
/person	2236	27128
/geography/island	2200	2240
/building	2203	10098
/language	2200	2206
/written_work	2203	3835
/religion/religion	355	363
/location/province	430	432
/computer/programming_language	550	554
/location	2224	35376
/astral_body	2200	2202
